bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean
32,50,cuda:0,0.1,64,50,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,832901096184518609.pt,1.606148234544016,4.55933800169787,2.728047873854277
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,6181587297381774371.pt,1.157173659587961,2.569588304383324,1.7435005338160132
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,6181587297381774371.pt,1.1530076425374711,2.5736512471584883,1.7393523309475076
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,46,6181587297381774371.pt,1.1666428411451355,2.50289946804783,1.7301516116900602
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,50,6181587297381774371.pt,1.1288895153577516,2.4838558895135874,1.708932216896821
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,62,6181587297381774371.pt,1.1300968177035853,2.4750229516747564,1.6814082109966548
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,74,6181587297381774371.pt,1.1154012607462438,2.4068408670178,1.6674919265832944
128,50,cpu,0.1,64,45,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,-4879465482170276877.pt,1.1514952236911735,2.546193464150716,1.7091747684545089
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,-4506130775042839885.pt,1.134259618719678,2.5504542128115912,1.7241826355570162
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,47,-4506130775042839885.pt,1.1549478767554042,2.51938345994836,1.7037961496549814
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,57,-4506130775042839885.pt,1.1411073488452184,2.4900842164452217,1.6992937964470711
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,58,-4506130775042839885.pt,1.1281535183417768,2.5281474792203955,1.6672773167212698
128,50,cpu,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,64,-4506130775042839885.pt,1.1283199982379308,2.409982587307928,1.6664887807671498
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,6403745211890741810.pt,1.1676244229667971,2.604009226218894,1.7553440798045918
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,6403745211890741810.pt,1.1917347165592895,2.5650312135040068,1.7400127196953998
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,6403745211890741810.pt,1.1799181480616894,2.6127662273079792,1.7360243598395275
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,44,6403745211890741810.pt,1.1570451436584663,2.573619634740368,1.729176847723114
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,45,6403745211890741810.pt,1.1695354950603891,2.524857830229703,1.706838143834122
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,60,6403745211890741810.pt,1.1397227958596927,2.42986971180512,1.7030702741303558
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,64,6403745211890741810.pt,1.1320591038460506,2.4485120650662098,1.671515236732555
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,-9052906871572093741.pt,1.17467791215015,1.17467791215015,1.17467791215015
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,-9052906871572093741.pt,1.1240658245101116,1.1240658245101116,1.1240658245101116
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,-9052906871572093741.pt,1.0408907578971354,1.0408907578971354,1.0408907578971354
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,48,-9052906871572093741.pt,1.0309826550359065,1.0309826550359065,1.0309826550359065
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/full/cost/,128,0.6,cost,49,-9052906871572093741.pt,1.002093086221319,1.002093086221319,1.002093086221319
