bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean,qerror_50 (Median),qerror_95,qerror_max,mean_qerror,qerror_0,mre,rmse
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,41,3564408489692085575.pt,-15527.496381774148,89789.20034303039,-15311.66845337692,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,42,3564408489692085575.pt,-16086.664628550398,96272.908332348,-15742.43953569056,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,43,3564408489692085575.pt,-16406.972092359178,98710.68346607752,-15907.828200705122,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,44,3564408489692085575.pt,-16396.93391109821,94901.50202154565,-16137.641265462158,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,45,3564408489692085575.pt,-16326.124492356796,93607.35200031684,-16193.50537649563,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,53,3564408489692085575.pt,-15416.24040304282,93000.31951632844,-16538.468293837977,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,54,3564408489692085575.pt,-15500.018266857238,92750.32416322984,-16696.805221997827,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,61,3564408489692085575.pt,-14969.664309229902,95769.79416557791,-16868.67495228932,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,64,3564408489692085575.pt,-15311.666011771362,90737.8096560769,-17011.84187659746,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,65,3564408489692085575.pt,-15518.04527995843,91790.8501492887,-17119.032679874046,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,69,3564408489692085575.pt,-16299.83265050146,92683.03892203854,-17216.009722798444,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,70,3564408489692085575.pt,-16413.850401993026,95553.55581267114,-17283.032827691928,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,41,3564408489692085575.pt,1.0866058909756409,1.622967617334811,1.1926740061541812,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,44,3564408489692085575.pt,1.0780072792642688,1.5237653973558087,1.1684094233486129,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,45,3564408489692085575.pt,1.057925465840501,1.4446159517336148,1.1558951851168595,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,46,3564408489692085575.pt,1.0567014082127062,1.4155534230374731,1.1515225423012247,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,53,3564408489692085575.pt,1.0678588129645146,1.3839103883924273,1.14301233904206,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,56,3564408489692085575.pt,1.0496020955383885,1.4398790867882758,1.1391994607176332,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,67,3564408489692085575.pt,1.0545869844654714,1.3536877023356162,1.1308642665516984,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,68,3564408489692085575.pt,1.0511625895036605,1.417925910503278,1.1295642895004148,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,73,3564408489692085575.pt,1.0472602871654049,1.3481617376752524,1.129487118028245,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,74,3564408489692085575.pt,1.042360500679779,1.3607100954664877,1.1180331098032523,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,78,3564408489692085575.pt,1.0610433405420312,1.31611827880469,1.1156612133674386,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,79,3564408489692085575.pt,1.0558134374739767,1.321819207530383,1.11331926188842,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,80,3564408489692085575.pt,1.0625915701314907,1.3117231448386133,1.1127012225247812,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,84,3564408489692085575.pt,1.0737889335338306,1.3140191769628924,1.1117189988999516,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,85,3564408489692085575.pt,1.0650457789370351,1.304526736123124,1.1093850691382807,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,86,3564408489692085575.pt,1.0663850971745308,1.3173056229151168,1.106197954833578,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,90,3564408489692085575.pt,1.0552688298682722,1.2677095795895337,1.1048040915995418,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,91,3564408489692085575.pt,1.0523168545659436,1.283158530472284,1.1015764990667585,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,92,3564408489692085575.pt,1.0543861857870107,1.2812405736784005,1.1012857640114035,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,96,3564408489692085575.pt,1.0535309488268378,1.223349561160982,1.1001507893722595,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,97,3564408489692085575.pt,1.055351282794004,1.2397702329408495,1.0970343001738805,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,98,3564408489692085575.pt,1.0533248941377922,1.2409788361009113,1.095655770211063,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,41,3564408489692085575.pt,1.1451338739857997,1.541207261223562,1.2595343511837398,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,42,3564408489692085575.pt,1.1442299098370288,1.5272349990503231,1.2571655133549997,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,43,3564408489692085575.pt,1.1418636068865675,1.512261272620986,1.253962787998591,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,44,3564408489692085575.pt,1.1362412468555083,1.5061251635372943,1.2494690496150418,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,45,3564408489692085575.pt,1.135566865934823,1.4986899690770874,1.2439567849358892,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,46,3564408489692085575.pt,1.1264276148759202,1.496813741032487,1.2381818201695376,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,47,3564408489692085575.pt,1.121553446083806,1.521427324852191,1.2333838391655487,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,48,3564408489692085575.pt,1.133798627821948,1.5117108830215062,1.2304903440946235,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,49,3564408489692085575.pt,1.1389089077431542,1.5049695532015337,1.2251444298757237,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,50,3564408489692085575.pt,1.13480672679436,1.502176560883477,1.218628871686893,,,,,,,
